player_name_fbref,club,league,position,position_group,age,market_value_eur,predicted_market_value_eur,market_value_gap_eur,market_value_gap_pct,inefficiency_score_z,matching_confidence,expected_upside,portfolio_value_score,portfolio_cost,is_eligible_portfolio,expected_roi,matching_confidence_norm,risk_proxy,roi_score_norm,optimization_score,scenario,budget,max_signings,solver_status,budget_utilization,grid_scenario,grid_budget,grid_elapsed_seconds
Pablo,Gil Vicente FC,Liga Portugal,FW,ATT,21.744010951403148,1500000.0,14982688.611168023,13482688.611168023,5.0,2.361008690955276,0.85,13482688.611168023,95.3607543528196,1500000.0,True,8.988459074112015,85.0,15.0,68.67122428699881,86.01941882978232,balanced,10000000,4,Optimal,0.71,balanced,10000000,0.10477189999073744
Filippo Terracciano,Cremonese,Serie A,DF,DEF,22.87200547570157,4500000.0,24042844.878461286,19542844.878461286,4.342854417435841,2.14726618361751,0.85,19542844.878461286,94.47406079480832,4500000.0,True,4.342854417435841,85.0,15.0,36.325550354588486,74.12208214073138,balanced,10000000,4,Optimal,0.71,balanced,10000000,0.10477189999073744
Ayoube Amaimouni Echghouyab,Eintracht Frankfurt,Bundesliga,"MF,FW",MID,20.85968514715948,500000.0,7244006.534196417,6744006.534196417,5.0,2.361008690955276,1.0,6744006.534196417,96.3266478623314,500000.0,True,13.488013068392833,100.0,0.0,100.0,97.61232111051541,balanced,20000000,5,Optimal,0.705,balanced,20000000,0.10352869983762503
Pedro Santos,Famalicão,Liga Portugal,MF,MID,22.85284052019165,600000.0,7391483.374145665,6791483.374145665,5.0,2.361008690955276,0.85,6791483.374145665,94.88046490164798,600000.0,True,11.319138956909441,85.0,15.0,84.9495808308625,91.40465547687307,balanced,20000000,5,Optimal,0.705,balanced,20000000,0.10352869983762503
Pablo,Gil Vicente FC,Liga Portugal,FW,ATT,21.744010951403148,1500000.0,14982688.611168023,13482688.611168023,5.0,2.361008690955276,0.85,13482688.611168023,95.3607543528196,1500000.0,True,8.988459074112015,85.0,15.0,68.77634652489061,86.05621161304445,balanced,20000000,5,Optimal,0.705,balanced,20000000,0.10352869983762503
Pablo,West Ham United,Premier League,"MF,FW",MID,21.744010951403148,1500000.0,10456423.118064376,8956423.118064377,5.0,2.361008690955276,0.85,8956423.118064376,94.73583548881884,1500000.0,True,5.97094874537625,85.0,15.0,47.837005207559,78.3212448903779,balanced,20000000,5,Optimal,0.705,balanced,20000000,0.10352869983762503
Arnau Martinez,Girona,LaLiga,"DF,MF",DEF,22.633812457221083,10000000.0,29276098.786078144,19276098.786078144,1.9276098786078144,1.460371564153804,0.85,19276098.786078144,87.35358391603646,10000000.0,True,1.9276098786078144,85.0,15.0,19.77915506977045,63.70253381984335,balanced,20000000,5,Optimal,0.705,balanced,20000000,0.10352869983762503
Ayoube Amaimouni Echghouyab,Eintracht Frankfurt,Bundesliga,"MF,FW",MID,20.85968514715948,500000.0,7244006.534196417,6744006.534196417,5.0,2.361008690955276,1.0,6744006.534196417,96.3266478623314,500000.0,True,13.488013068392833,100.0,0.0,100.0,97.61232111051541,balanced,30000000,5,Optimal,0.77,balanced,30000000,0.1020363001152873
Pedro Santos,Famalicão,Liga Portugal,MF,MID,22.85284052019165,600000.0,7391483.374145665,6791483.374145665,5.0,2.361008690955276,0.85,6791483.374145665,94.88046490164798,600000.0,True,11.319138956909441,85.0,15.0,84.9495808308625,91.40465547687307,balanced,30000000,5,Optimal,0.77,balanced,30000000,0.1020363001152873
Pablo,Gil Vicente FC,Liga Portugal,FW,ATT,21.744010951403148,1500000.0,14982688.611168023,13482688.611168023,5.0,2.361008690955276,0.85,13482688.611168023,95.3607543528196,1500000.0,True,8.988459074112015,85.0,15.0,68.77634652489061,86.05621161304445,balanced,30000000,5,Optimal,0.77,balanced,30000000,0.1020363001152873
Kareem Tunde,Levante,LaLiga,MF,MID,20.418891170431213,500000.0,4058313.2922581015,3558313.292258101,5.0,2.361008690955276,0.85,3558313.292258101,93.46049752103364,500000.0,True,7.116626584516202,85.0,15.0,55.78718157812516,80.27483694101568,balanced,30000000,5,Optimal,0.77,balanced,30000000,0.1020363001152873
Michael Kayode,Brentford,Premier League,DF,DEF,21.270362765229294,20000000.0,43988025.186965816,23988025.186965816,1.1994012593482908,1.1338069664627246,0.85,23988025.186965816,84.13633288168607,20000000.0,True,1.1994012593482908,85.0,15.0,14.725913434211092,59.84268607506983,balanced,30000000,5,Optimal,0.77,balanced,30000000,0.1020363001152873
Ayoube Amaimouni Echghouyab,Eintracht Frankfurt,Bundesliga,"MF,FW",MID,20.85968514715948,500000.0,7244006.534196417,6744006.534196417,5.0,2.361008690955276,1.0,6744006.534196417,96.3266478623314,500000.0,True,13.488013068392833,100.0,0.0,100.0,97.61232111051541,balanced,50000000,6,Optimal,0.722,balanced,50000000,0.11636680015362799
Pedro Santos,Famalicão,Liga Portugal,MF,MID,22.85284052019165,600000.0,7391483.374145665,6791483.374145665,5.0,2.361008690955276,0.85,6791483.374145665,94.88046490164798,600000.0,True,11.319138956909441,85.0,15.0,84.98078461751709,91.41557680220217,balanced,50000000,6,Optimal,0.722,balanced,50000000,0.11636680015362799
