role_subgroup,archetype_id,rank,player,team,league,season,pos_,age_,minutes,archetype_similarity,progressive_passes_p90,pass_completion_pct,long_pass_completion_pct,passes_final_third_p90,blocks_p90,clearances_p90,interceptions_p90,tackles_p90,tackles_won_p90,aerials_won_p90,aerials_won_pct,duel_index_role,defending_index_role,errors_p90,recoveries_p90,progressive_carries_p90,progressive_receipts_p90,key_passes_p90,sca_p90,gca_p90,gca_live_p90,passes_penalty_area_p90,touches_att_third_p90,touches_box_p90,takeons_attempted_p90,takeons_success_pct,creation_index_role,progression_index_role,xg_p90,shots_p90,sot_p90,g_per_shot,g_per_sot,shot_distance,carries_box_p90,finishing_index_role
DEF_CB,1,3,Jean-Kevin Duverne,Nantes,FRA-Ligue 1,2324,DF,26.0,1348,88.6,4.266666666666667,80.3,50.0,3.0,1.1333333333333333,2.2666666666666666,1.2,2.466666666666667,1.2666666666666666,1.0,50.0,37.0,2.48,0.0,5.333333333333333,,,,,,,,,,,,,,,,,,,,,
DEF_CB,1,4,Bastian Oczipka,Schalke 04,GER-Bundesliga,1920,DF,30.0,3015,88.3,4.059701492537314,75.7,46.0,2.5671641791044775,1.044776119402985,2.029850746268657,1.1044776119402986,2.1492537313432836,1.492537313432836,0.8059701492537313,41.5,32.73532338308458,2.364179104477612,0.0,5.492537313432836,,,,,,,,,,,,,,,,,,,,,
DEF_CB,1,5,Hassane Kamara,Udinese,ITA-Serie A,2324,DF,29.0,2225,88.2,3.279352226720648,73.3,45.6,1.7004048582995952,1.174089068825911,2.672064777327935,1.0526315789473684,1.8218623481781377,1.2955465587044535,0.6477732793522267,53.3,36.515924426450745,2.3967611336032393,0.0,5.2631578947368425,,,,,,,,,,,,,,,,,,,,,
DEF_CB,1,6,Fouad Chafik,Dijon,FRA-Ligue 1,2021,DF,33.0,1622,88.1,3.611111111111111,75.5,40.4,3.1666666666666665,1.0555555555555556,2.2777777777777777,1.1666666666666667,2.1666666666666665,1.3333333333333333,0.9444444444444444,41.5,34.648148148148145,2.522222222222222,0.0,5.944444444444445,,,,,,,,,,,,,,,,,,,,,
DEF_CB,1,7,Ibrahima Mbaye,Bologna,ITA-Serie A,1819,DF,23.0,2010,87.9,3.3632286995515694,75.8,45.8,2.5112107623318383,0.9417040358744394,2.9596412556053813,0.852017937219731,2.1524663677130045,1.4349775784753362,1.6143497757847534,44.4,30.138116591928252,2.3946188340807177,0.04484304932735426,5.067264573991031,,,,,,,,,,,,,,,,,,,,,
DEF_CB,1,8,Peter Pekarík,Hertha BSC,GER-Bundesliga,2122,DF,34.0,2234,87.8,2.782258064516129,76.9,42.0,2.4596774193548385,1.129032258064516,2.338709677419355,1.1693548387096775,1.814516129032258,1.1693548387096775,1.129032258064516,58.3,34.10967741935483,2.3629032258064515,0.0,5.362903225806451,,,,,,,,,,,,,,,,,,,,,
DEF_CB,1,9,Zeki Çelik,Lille,FRA-Ligue 1,2021,DF,23.0,2381,87.0,3.849056603773585,77.2,43.7,3.207547169811321,1.2075471698113207,1.9622641509433962,1.4339622641509433,2.7169811320754715,1.2452830188679245,0.9433962264150944,53.2,35.54779874213836,2.5962264150943395,0.0,5.660377358490566,,,,,,,,,,,,,,,,,,,,,
DEF_CB,1,10,Stefan Lainer,Gladbach,GER-Bundesliga,2021,DF,27.0,2768,86.9,4.415584415584416,73.7,45.7,3.409090909090909,1.103896103896104,2.75974025974026,1.1363636363636362,2.012987012987013,1.2012987012987013,1.2012987012987013,59.7,36.967099567099574,2.383116883116883,0.032467532467532464,4.902597402597403,,,,,,,,,,,,,,,,,,,,,
DEF_CB,1,11,Tommy Smith,Huddersfield,ENG-Premier League,1819,DF,26.0,1141,86.5,2.7559055118110236,74.4,51.0,2.5196850393700787,0.9448818897637796,1.968503937007874,1.4173228346456694,2.047244094488189,1.0236220472440944,1.1023622047244095,50.0,37.034120734908136,2.299212598425197,0.0,5.118110236220473,,,,,,,,,,,,,,,,,,,,,
DEF_CB,1,12,Timothy Castagne,Leicester City,ENG-Premier League,2021,DF,24.0,2345,86.4,3.486590038314176,83.1,53.5,3.67816091954023,1.1111111111111112,2.375478927203065,1.1111111111111112,1.9923371647509578,1.2260536398467432,1.532567049808429,48.2,31.844189016602808,2.3065134099616857,0.038314176245210725,4.942528735632184,,,,,,,,,,,,,,,,,,,,,
DEF_CB,1,13,Kiko Femenía,Watford,ENG-Premier League,1819,DF,27.0,2049,86.3,4.649122807017544,80.2,50.0,2.280701754385965,1.0526315789473684,2.982456140350877,1.5789473684210527,2.1052631578947367,1.3157894736842104,0.5263157894736842,50.0,36.5421052631579,2.6666666666666665,0.0,5.614035087719298,,,,,,,,,,,,,,,,,,,,,
DEF_CB,1,14,Giorgos Kyriakopoulos,Sassuolo,ITA-Serie A,2021,DF,24.0,1456,86.2,3.6419753086419755,81.6,50.0,2.8395061728395063,0.9876543209876544,2.5925925925925926,0.9259259259259259,2.160493827160494,1.1111111111111112,1.0493827160493827,51.5,38.7164609053498,2.3580246913580245,0.0,5.123456790123457,,,,,,,,,,,,,,,,,,,,,
DEF_CB,1,15,Iago,Augsburg,GER-Bundesliga,2122,DF,24.0,2174,86.1,3.4710743801652892,67.1,43.3,2.5206611570247937,1.15702479338843,2.56198347107438,1.115702479338843,2.024793388429752,1.1983471074380165,0.9917355371900827,50.0,30.330578512396695,2.487603305785124,0.0,5.578512396694215,,,,,,,,,,,,,,,,,,,,,
