player_name_fbref,player_name_tm,club,league,season,position_group,age,minutes_played,market_value_eur,predicted_market_value_eur,assumed_buy_price_eur,assumed_sell_price_eur,expected_profit_eur,expected_roi_pct,risk_adjusted_profit_eur,risk_adjusted_roi_pct,positive_roi_flag,inefficiency_score_z,growth_score,confidence_score,opportunity_score,opportunity_tier,matching_confidence,matching_method
Iker Muñoz,Iker Muñoz,Osasuna,LaLiga,2024-2025,MID,22.310746064339494,610,3000000.0,6037200.686626427,3000000.0,4518600.343313213,1518600.3433132134,50.620011443773784,1031804.566595589,34.3934855531863,True,0.8467626955063879,1.8812500744760952,67.94444444444446,51.61962225985421,monitoring,0.85,exact_age_validated
Leonardo Buta,Leonardo Buta,Gil Vicente FC,Liga Portugal,2023-2024,DEF,21.56057494866529,2187,2000000.0,1309227.727042891,2000000.0,1654613.8635214455,-345386.13647855446,-17.269306823927725,-309984.0574895027,-15.499202874475134,False,-0.4615141055763747,24.35937073244148,89.75000000000001,51.54281128117719,monitoring,0.85,exact_age_validated
Cole Palmer,Cole Palmer,Chelsea,Premier League,2024-2025,MID,22.40657084188912,3191,90000000.0,68639449.98000072,90000000.0,79319724.99000037,-10680275.009999633,-11.866972233332925,-10052808.853162155,-11.169787614624616,False,-0.2835484367101338,11.627810290673676,94.125,51.527439081916285,monitoring,0.85,exact_age_validated
Johnny Cardoso,Johnny Cardoso,Real Betis,LaLiga,2023-2024,MID,21.842573579739906,1328,5000000.0,4151997.077707749,5000000.0,4575998.538853874,-424001.46114612557,-8.48002922292251,-339608.34492323926,-6.792166898464785,False,-0.1844189325533613,25.942443515041543,80.09603174603176,51.466775992774416,monitoring,0.85,exact_age_validated
Matteo Dams,Matteo Dams,PSV,Eredivisie,2024-2025,DEF,20.59958932238193,916,3500000.0,779497.6868527966,3500000.0,2139748.843426398,-1360251.156573602,-38.86431875924577,-941671.6478924255,-26.904904225497873,False,-1.717509241914372,99.99997661840656,69.2277777777778,51.400501686522695,monitoring,0.85,exact_age_validated
Murillo,Murillo,Nottingham Forest,Premier League,2024-2025,DEF,22.245037645448324,3188,40000000.0,26592718.614970244,40000000.0,33296359.307485122,-6703640.692514878,-16.759101731287192,-6544030.199835952,-16.360075499589882,False,-0.4434950629234879,12.91039064675562,97.61904761904762,51.3739134734976,monitoring,1.0,exact_age_club_validated
Neco Williams,Neco Williams,Nottingham Forest,Premier League,2023-2024,DEF,22.68309377138946,1637,17000000.0,14188608.750963436,17000000.0,15594304.375481717,-1405695.6245182827,-8.268797791284015,-1327171.905048664,-7.806893559109788,False,-0.1785073420965938,6.696081932462619,94.41388888888888,51.36068542534443,monitoring,1.0,exact_age_club_validated
Anis Ben Slimane,Anis Ben Slimane,Sheffield United,Premier League,2023-2024,MID,22.75975359342916,419,2500000.0,4470183.42310702,2500000.0,3485091.71155351,985091.7115535098,39.40366846214039,636013.518101062,25.44054072404248,True,0.709078555197567,10.994299876987418,64.5638888888889,51.35554987702788,monitoring,0.85,exact_age_validated
Mahamadou Diawara,Mahamadou Diawara,Lyon,Ligue 1,2023-2024,MID,18.65845311430527,358,1000000.0,1866902.12971328,1000000.0,1433451.06485664,433451.06485664006,43.34510648566401,244610.88426743055,24.461088426743054,True,0.7593362779128817,19.66307817607741,56.43333333333334,51.35476329494606,monitoring,0.85,exact_age_validated
Adam Obert,Adam Obert,Cagliari,Serie A,2023-2024,DEF,21.32511978097194,941,1800000.0,2402939.890383005,1800000.0,2101469.9451915026,301469.9451915026,16.74833028841681,225239.91988377346,12.513328882431859,True,0.3686439933588663,10.994299876987418,74.71388888888889,51.33825341140278,monitoring,0.85,exact_age_validated
Bukayo Saka,Bukayo Saka,Arsenal,Premier League,2023-2024,ATT,22.286105407255302,2919,120000000.0,97855650.82390876,120000000.0,108927825.41195437,-11072174.588045627,-9.226812156704689,-10490885.422173232,-8.742404518477693,False,-0.2055624773609178,7.231799728035232,94.75,51.329145584384605,monitoring,0.85,exact_age_validated
Etienne Youte Kinkoue,Étienne Youté Kinkoué,Le Havre,Ligue 1,2024-2025,DEF,22.90485968514716,2320,8000000.0,6156315.355696924,8000000.0,7078157.677848462,-921842.322151538,-11.523029026894225,-851496.9735206885,-10.643712169008605,False,-0.2730882502889016,12.910390417501748,92.36904761904762,51.29895678685493,monitoring,0.85,exact_age_validated
Sebastiano Esposito,Sebastiano Esposito,Empoli,Serie A,2024-2025,MID,22.46406570841889,2331,7000000.0,4423925.579282585,7000000.0,5711962.789641293,-1288037.2103587072,-18.40053157655296,-1151719.9389290775,-16.453141984701105,False,-0.5024886613237222,25.47546865074618,89.41666666666667,51.19413740450719,monitoring,0.85,exact_age_validated
Liam Delap,Liam Delap,Ipswich Town,Premier League,2024-2025,ATT,21.6454483230664,2593,15000000.0,8657148.899967207,15000000.0,11828574.449983604,-3171425.5500163957,-21.142837000109303,-2760461.655826771,-18.40307770551181,False,-0.608244712392995,32.53710660183862,87.04166666666667,51.12406574336482,monitoring,0.85,exact_age_validated
Basar Onal,Başar Önal,NEC Nijmegen,Eredivisie,2024-2025,MID,20.449007529089663,1386,900000.0,984705.607650183,900000.0,942352.8038250916,42352.80382509157,4.705867091676842,35096.35676972588,3.899595196636209,True,0.1368685959434167,8.80381592207505,82.86666666666666,51.11332598246721,monitoring,0.85,exact_age_validated
Pedro Santos,Pedro Santos,Arouca,Liga Portugal,2023-2024,MID,21.357973990417523,1448,1700000.0,1170382.2935174436,1700000.0,1435191.1467587217,-264808.8532412783,-15.576991367134019,-210714.2891652683,-12.394958186192254,False,-0.4027870062185255,34.197402598050125,79.57222222222222,51.09755902120501,monitoring,0.85,exact_age_validated
Filip Stevanovic,Filip Stevanovic,RKC Waalwijk,Eredivisie,2023-2024,MID,21.22108145106092,625,1300000.0,1855637.758393247,1300000.0,1577818.8791966233,277818.87919662334,21.37068301512487,207862.5419766958,15.989426305899675,True,0.4466462303450704,7.090981158444793,74.81944444444444,51.06964963129023,monitoring,1.0,exact_age_club_validated
Wouter Goes,Wouter Goes,AZ Alkmaar,Eredivisie,2024-2025,DEF,20.52019164955509,2052,5000000.0,3823405.211003136,5000000.0,4411702.605501568,-588297.394498432,-11.76594788996864,-557411.7812872644,-11.148235625745288,False,-0.2804662756345172,9.113049802511323,94.75,50.932597144306,monitoring,0.85,exact_age_validated
Johan Bakayoko,Johan Bakayoko,PSV,Eredivisie,2023-2024,MID,20.49281314168378,2493,25000000.0,11926638.67031962,25000000.0,18463319.33515981,-6536680.664840192,-26.146722659360766,-5757726.218946736,-23.030904875786945,False,-0.830092807411299,39.336162863457474,88.08333333333334,50.92698922631253,monitoring,0.85,exact_age_validated
