player_name_fbref,player_name_tm,club,league,season,position_group,age,minutes_played,market_value_eur,predicted_market_value_eur,assumed_buy_price_eur,assumed_sell_price_eur,expected_profit_eur,expected_roi_pct,risk_adjusted_profit_eur,risk_adjusted_roi_pct,positive_roi_flag,inefficiency_score_z,growth_score,confidence_score,opportunity_score,opportunity_tier,matching_confidence,matching_method
Junior Kadile,Junior Kadile,Almere City,Eredivisie,2024-2025,MID,22.0041067761807,2207,500000.0,2501614.796693139,500000.0,1500807.3983465694,1000807.3983465694,200.16147966931385,923244.8249747102,184.64896499494205,True,1.9077422585762631,6.295018383809746,92.25,80.95815897013871,target_scouting,0.85,exact_age_validated
Etienne Youte Kinkoue,Étienne Youté Kinkoué,Le Havre,Ligue 1,2023-2024,DEF,21.924709103353862,1941,1800000.0,2510905.4924097164,1800000.0,2155452.746204858,355452.7462048582,19.747374789158787,307170.414845365,17.065023046964722,True,0.4198438860438118,71.81500457585918,86.41666666666667,80.82369587095722,target_scouting,0.85,exact_age_validated
Antony,Antony,Manchester Utd,Premier League,2023-2024,MID,22.76249144421629,1324,2500000.0,14362971.081364386,2500000.0,8431485.540682193,5931485.540682193,237.25942162728774,4972232.517964089,198.88930071856356,True,2.0688297193320206,10.053674839749371,83.82777777777778,80.59763595049996,target_scouting,0.85,exact_age_validated
Bart van Rooij,Bart van Rooij,NEC Nijmegen,Eredivisie,2023-2024,DEF,22.55441478439425,1975,1000000.0,4130086.8757230174,1000000.0,2565043.4378615087,1565043.4378615087,156.50434378615088,1474183.9716078823,147.41839716078823,True,1.6843231697551613,11.359054184785498,94.19444444444444,80.52889500577028,target_scouting,0.85,exact_age_validated
Yan Couto,Yan Couto,Girona,LaLiga,2023-2024,DEF,21.36071184120465,2245,8000000.0,27572790.693921,8000000.0,17786395.3469605,9786395.3469605,122.32994183700625,8783289.82389705,109.79112279871313,True,1.4735724315477956,25.233356534736107,89.75000000000001,80.45691180550054,target_scouting,0.85,exact_age_validated
João Marques,João Marques,Estoril,Liga Portugal,2023-2024,MID,21.623545516769337,1969,1000000.0,2248266.4262764007,1000000.0,1624133.2131382003,624133.2131382003,62.413321313820035,539355.1183535948,53.935511835359485,True,0.9758749942502328,49.05744075747101,86.41666666666667,80.44947259993958,target_scouting,0.85,exact_age_validated
Brayann Pereira,Brayann Pereira,NEC Nijmegen,Eredivisie,2024-2025,DEF,21.40177960301164,2098,1000000.0,3254326.8261711434,1000000.0,2127163.4130855715,1127163.4130855715,112.71634130855715,1025047.7753048431,102.5047775304843,True,1.4067017541756526,25.00181297571708,90.9404761904762,79.9695375028321,high_priority,0.85,exact_age_validated
Taichi Fukui,Taichi Fukui,Arouca,Liga Portugal,2024-2025,MID,20.23271731690623,2183,1500000.0,4177347.359229303,1500000.0,2838673.6796146515,1338673.6796146515,89.2449119743101,1179148.3994605723,78.60989329737149,True,1.225233565685625,35.0777909459971,88.08333333333334,79.68050105345458,high_priority,0.85,exact_age_validated
Daan Rots,Daan Rots,Twente,Eredivisie,2023-2024,MID,22.22861054072553,2573,2000000.0,4646723.938912324,2000000.0,3323361.969456162,1323361.9694561618,66.16809847280808,1165661.334762636,58.28306673813181,True,1.014150199979556,43.26361588827293,88.08333333333334,79.65142841172442,high_priority,0.85,exact_age_validated
Sem Steijn,Sem Steijn,Twente,Eredivisie,2023-2024,MID,21.927446954141,2414,3000000.0,6614772.742064958,3000000.0,4807386.371032479,1807386.3710324792,60.24621236774931,1592006.1618177756,53.066872060592516,True,0.9531978485799574,44.76042775385668,88.08333333333334,79.31589521981644,high_priority,0.85,exact_age_validated
