player_name_fbref,player_id_tm,club,current_club_name_tm,league,season,position_group,age,minutes_played,market_value_eur,predicted_market_value_ml_eur,market_value_gap_ml_eur,market_value_gap_ml_pct,log_market_value_eur,predicted_log_market_value_ml,inefficiency_score_ml,inefficiency_score_ml_z,confidence_score_ml,opportunity_score_ml,matching_method,matching_confidence,age_diff,club_score
Tomás Araújo,504087.0,Benfica,Sport Lisboa e Benfica,Liga Portugal,2024-2025,DEF,22.39835728952772,2311,15000000.0,2723766.4454644024,-12276233.554535598,-0.8184155703023732,16.523560759066484,14.817526203025182,-1.7060345560413026,-1.66365893352065,0.8161396303901438,0.0,exact_age_validated,0.85,0.39835728952771987,48.275862068965516
Lucas Gourna-Douath,620313.0,RB Salzburg,Le Havre Athletic Club,Austrian Bundesliga,2024-2025,MID,21.36892539356605,429,8000000.0,1454344.2283272776,-6545655.771672722,-0.8182069714590903,15.89495209964411,14.19006565481041,-1.7048864448337007,-1.6624637292576663,0.36682067077344277,0.0,exact_age_validated,0.85,1.3689253935660517,24.242424242424242
Jude Bellingham,581678.0,Real Madrid,Real Madrid Club de Fútbol,LaLiga,2024-2025,MID,21.49760438056126,2488,180000000.0,33292594.177758843,-146707405.82224116,-0.8150411434568954,19.008467408854486,17.32084553315248,-1.687621875702007,-1.644491004587661,0.8077036276522929,0.0,exact_age_validated,0.85,0.4976043805612598,59.45945945945945
Malik Tillman,467437.0,PSV,Bayer 04 Leverkusen Fußball,Eredivisie,2024-2025,MID,22.38193018480493,1915,25000000.0,4727694.009464236,-20272305.990535766,-0.8108922396214305,17.034386382832476,15.368948117163278,-1.6654382656691986,-1.6213974705257825,0.817535934291581,0.0,exact_age_validated,0.85,0.38193018480492924,7.4074074074074066
Kenneth Taylor,470394.0,Ajax,Società Sportiva Lazio S.p.A.,Eredivisie,2024-2025,MID,22.590006844626966,2447,16000000.0,3028404.218493589,-12971595.781506412,-0.8107247363441507,16.588099280204055,14.923546378187993,-1.6645529020160623,-1.6204757911575185,0.7998494182067079,0.0,exact_age_validated,0.85,0.5900068446269664,12.5
Antoni Milambo,683620.0,Feyenoord,Brentford Football Club,Eredivisie,2024-2025,MID,19.531827515400412,1978,12000000.0,2384833.9796145116,-9615166.020385489,-0.8012638350321241,16.300417207752275,14.684640069657151,-1.6157771380951242,-1.569699350179858,0.804794661190965,0.0,exact_age_validated,0.85,0.531827515400412,31.25
Kobbie Mainoo,820374.0,Manchester Utd,Manchester United Football Club,Premier League,2024-2025,MID,19.247091033538673,1651,55000000.0,10976096.525945626,-44023903.474054374,-0.8004346086191705,17.822843743196746,16.211230423182606,-1.6116133200141398,-1.5653647412258387,0.8289972621492128,0.0,exact_age_validated,0.85,0.24709103353867334,62.22222222222222
Mario Stroeykens,588866.0,Anderlecht,Royal Sporting Club Anderlecht,Belgian Pro League,2024-2025,MID,20.199863107460644,1777,14000000.0,2818298.0961456536,-11181701.903854346,-0.7986929931324533,16.454567887579532,14.851643748722534,-1.6029241388569986,-1.5563191485235912,0.7480116358658453,0.0,exact_age_validated,0.85,1.1998631074606436,50.0
Amar Dedić,519184.0,Marseille,Sport Lisboa e Benfica,Ligue 1,2024-2025,MID,22.33264887063655,314,15000000.0,3050705.9911665926,-11949294.008833408,-0.7966196005888938,16.523560759066484,14.930883594311602,-1.5926771647548819,-1.5456518655561913,0.3683624229979466,0.0,exact_age_validated,0.85,1.3326488706365502,19.354838709677423
Francisco Conceição,487474.0,Juventus,Juventus Football Club,Serie A,2024-2025,MID,22.012320328542096,1340,36000000.0,7337148.940033911,-28662851.059966087,-0.7961903072212803,17.399029496420383,15.808460897344789,-1.5905685990755938,-1.5434568110423257,0.7639527720739219,0.0,exact_age_validated,0.85,1.0123203285420956,53.333333333333336
Jobe Bellingham,796297.0,Sunderland,Borussia Dortmund,Championship,2024-2025,MID,19.26899383983573,3507,18000000.0,3685074.6949237627,-14314925.305076238,-0.795273628059791,16.70588231586044,15.11980135339302,-1.5860809624674186,-1.5387851012207523,0.742135523613963,0.0,exact_age_validated,0.85,1.2689938398357299,37.03703703703704
Ismaël Koné,921655.0,Marseille,Unione Sportiva Sassuolo Calcio,Ligue 1,2024-2025,MID,22.310746064339494,360,12000000.0,2472664.044578566,-9527335.955421433,-0.7939446629517861,16.300417207752275,14.720806687933734,-1.5796105198185408,-1.5320492549141187,0.41179329226557154,0.0,exact_age_validated,0.85,0.3107460643394937,19.999999999999996
Anis Hadj Moussa,917911.0,Feyenoord,Feyenoord Rotterdam,Eredivisie,2024-2025,MID,22.847364818617386,1969,12000000.0,2489755.149208162,-9510244.850791838,-0.7925204042326531,16.300417207752275,14.72769492995448,-1.572722277797796,-1.524878472002894,0.7779739904175221,0.0,exact_age_validated,0.85,0.8473648186173861,64.28571428571428
