player_name_fbref,club,league,season,position_group,age,minutes_played,market_value_eur,predicted_market_value_eur,market_value_gap_eur,market_value_gap_pct,inefficiency_score_z,growth_score,confidence_score,opportunity_score,opportunity_tier,matching_confidence,matching_method,risk_age_component,risk_minutes_component,risk_confidence_component,risk_gap_component,risk_score_raw,risk_score,risk_level,risk_adjusted_opportunity_score
Erick Nunes,Cercle Brugge,Belgian Pro League,2024-2025,MID,20.591375770020534,1805,500000.0,2046169.02707542,1546169.02707542,3.09233805415084,1.5961986259628296,58.504578984604,86.41666666666667,86.4817198083016,target_scouting,0.85,exact_age_validated,15,25,13.583333333333329,15,17.58,56.0,Alto,38.05
Mikel Jauregizar,Athletic Club,LaLiga,2024-2025,MID,20.91170431211499,2244,3000000.0,13313608.282068107,10313608.282068107,3.437869427356036,1.6812449204812956,48.6491744011978,91.66666666666669,86.25965166126537,target_scouting,1.0,exact_age_club_validated,15,10,8.333333333333314,15,11.5,4.5,Bajo,82.38
Mario Martín,Valladolid,LaLiga,2024-2025,MID,20.602327173169066,1748,500000.0,8629255.519122709,8129255.519122709,5.0,2.426072388659802,27.245378786946315,87.07222222222224,86.14105064831918,target_scouting,0.85,exact_age_validated,15,25,12.927777777777763,15,17.38,45.5,Moderado,46.95
Mario Martín,Valladolid,LaLiga,2024-2025,MID,20.602327173169066,1748,500000.0,11201966.947187008,10701966.947187008,5.0,2.426072388659802,27.245378786946315,87.07222222222224,86.14105064831918,target_scouting,0.85,exact_age_validated,15,25,12.927777777777763,15,17.38,45.5,Moderado,46.95
Mario Martín,Valladolid,LaLiga,2024-2025,MID,20.602327173169066,1748,500000.0,10195499.37766784,9695499.37766784,5.0,2.426072388659802,27.245378786946315,87.07222222222224,86.14105064831918,target_scouting,0.85,exact_age_validated,15,25,12.927777777777763,15,17.38,45.5,Moderado,46.95
Mario Martín,Valladolid,LaLiga,2024-2025,MID,20.602327173169066,1748,500000.0,8174636.61328947,7674636.61328947,5.0,2.426072388659802,27.245378786946315,87.07222222222224,86.14105064831918,target_scouting,0.85,exact_age_validated,15,25,12.927777777777763,15,17.38,45.5,Moderado,46.95
Mario Martín,Valladolid,LaLiga,2024-2025,MID,20.602327173169066,1748,500000.0,11286184.959971976,10786184.959971976,5.0,2.426072388659802,27.245378786946315,87.07222222222224,86.14105064831918,target_scouting,0.85,exact_age_validated,15,25,12.927777777777763,15,17.38,45.5,Moderado,46.95
Mario Martín,Valladolid,LaLiga,2024-2025,MID,20.602327173169066,1748,500000.0,12495778.22757698,11995778.22757698,5.0,2.426072388659802,27.245378786946315,87.07222222222224,86.14105064831918,target_scouting,0.85,exact_age_validated,15,25,12.927777777777763,15,17.38,45.5,Moderado,46.95
Mario Martín,Valladolid,LaLiga,2024-2025,MID,20.602327173169066,1748,500000.0,6757266.914302427,6257266.914302427,5.0,2.426072388659802,27.245378786946315,87.07222222222224,86.14105064831918,target_scouting,0.85,exact_age_validated,15,25,12.927777777777763,15,17.38,45.5,Moderado,46.95
Mario Martín,Valladolid,LaLiga,2024-2025,MID,20.602327173169066,1748,500000.0,10736391.822114944,10236391.822114944,5.0,2.426072388659802,27.245378786946315,87.07222222222224,86.14105064831918,target_scouting,0.85,exact_age_validated,15,25,12.927777777777763,15,17.38,45.5,Moderado,46.95
Erick Nunes,Cercle Brugge,Belgian Pro League,2024-2025,MID,20.591375770020534,1805,500000.0,1983373.4680552508,1483373.4680552508,2.9667469361105017,1.5634948305921217,58.504578984604,86.41666666666667,86.03233265863268,target_scouting,0.85,exact_age_validated,15,25,13.583333333333329,15,17.58,56.0,Alto,37.85
Saba Goglichidze,Empoli,Serie A,2024-2025,DEF,20.314852840520192,2539,5000000.0,6402073.575750192,1402073.5757501917,0.2804147151500383,0.377094824954136,100.0,86.41666666666667,85.71860487974563,target_scouting,0.85,exact_age_validated,15,10,13.583333333333329,15,13.08,21.5,Bajo,67.29
Erick Nunes,Cercle Brugge,Belgian Pro League,2024-2025,MID,20.591375770020534,1805,500000.0,1926005.5828410613,1426005.5828410615,2.852011165682123,1.5326997006537304,58.504578984604,86.41666666666667,85.60917273147962,target_scouting,0.85,exact_age_validated,15,25,13.583333333333329,15,17.58,56.0,Alto,37.67
