dataset,suffix,size_mb,modified_at_utc,modified_at_local_naive,sha256_16,read_error,n_columns_sample,columns_sample
data/outputs/econometric_baseline_results.parquet,.parquet,0.242,2026-05-05T17:26:28.907544+00:00,2026-05-05T19:26:28,1d7da0c995ac5d83,,56,"player_name_fbref, normalized_name, season, season_start_year_fbref, league, club, position, age_fbref, minutes_played, matches, goals, assists, goals_per90, assists_per90, g_a_per90, shots_per90, progressive_passes_per90, progressive_carries_per90, tackles_per90, interceptions_per90, player_name_norm, player_id, player_name_tm, season_start_year_tm, valuation_date, market_value_eur, log_market_value_eur, market_value_prev_eur, market_value_next_eur, market_value_growth_1y, delta_log_market_value_1y, age_tm, date_of_birth, nationality, position_tm, sub_position_tm, position_group, foot, height_in_cm, current_club_name_tm, current_club_id_tm, competition_id_tm, has_player_master_data, has_age, source, matching_method, matching_confidence, matching_status, season_start_year, age, age_diff, predicted_log_market_value, predicted_market_value_eur, residual_log_value, inefficiency_score, market_value_gap_eur"
data/outputs/models/econometric_baseline_coefficients.csv,.csv,0.001,2026-05-06T18:41:20.833247+00:00,2026-05-06T20:41:20,c6e9ffd2ba7e5604,,8,"term, Coef., Std.Err., z, P>|z|, [0.025, 0.975], approx_pct_effect"
data/outputs/models/econometric_baseline_metrics.csv,.csv,0.0,2026-05-06T18:41:20.797234+00:00,2026-05-06T20:41:20,33502f34474c39fd,,4,"model, MAE_log, RMSE_log, R2"
data/outputs/models/player_season_scoring_baseline.parquet,.parquet,0.015,2026-05-06T18:41:21.175809+00:00,2026-05-06T20:41:21,99b4407914390bfc,,24,"player_id, season, season_start_year, log_market_value_eur, market_value_eur, age, minutes_played, finishing_index, playmaking_index, progression_index, defensive_index, position_group, league_tm, matching_confidence, is_low_minutes, minutes_bucket, log_minutes_played, age_squared, pred_log_market_value, expected_market_value_eur, inefficiency_log_gap, inefficiency_score, market_value_gap_eur, market_value_gap_pct"
data/outputs/models/scouting_buckets_baseline.csv,.csv,0.001,2026-05-06T18:41:21.674924+00:00,2026-05-06T20:41:21,7e387fd377621a2b,,25,"player_id, season, season_start_year, log_market_value_eur, market_value_eur, age, minutes_played, finishing_index, playmaking_index, progression_index, defensive_index, position_group, league_tm, matching_confidence, is_low_minutes, minutes_bucket, log_minutes_played, age_squared, pred_log_market_value, expected_market_value_eur, inefficiency_log_gap, inefficiency_score, market_value_gap_eur, market_value_gap_pct, scouting_bucket"
data/outputs/models/undervalued_players_baseline.csv,.csv,0.001,2026-05-06T18:41:21.142064+00:00,2026-05-06T20:41:21,b8cd43a215fa3d88,,15,"player_id, season, season_start_year, age, position_group, league_tm, market_value_eur, expected_market_value_eur, market_value_gap_eur, market_value_gap_pct, inefficiency_log_gap, inefficiency_score, minutes_played, is_low_minutes, matching_confidence"
data/outputs/undervalued_ranking_baseline.csv,.csv,0.184,2026-05-05T17:26:28.921765+00:00,2026-05-05T19:26:28,c9f147186daf82ae,,12,"player_name_fbref, season, league, club, position_group, age, minutes_played, market_value_eur, predicted_market_value_eur, market_value_gap_eur, inefficiency_score, matching_confidence"
data/processed/fbref_features.parquet,.parquet,0.581,2026-06-02T13:09:30.871872+00:00,2026-06-02T15:09:30,6fc6c4d2d46b7663,,25,"player_name, club, league, season, season_start_year, position, position_group, age, matches_played, starts, minutes_played, nineties, goals, assists, g_a, goals_minus_pk, penalties_scored, penalties_attempted, yellow_cards, red_cards, goals_per90, assists_per90, g_a_per90, goals_minus_pk_per90, g_a_minus_pk_per90"
data/processed/fbref_features_v13a.parquet,.parquet,0.891,2026-06-07T16:11:20.631954+00:00,2026-06-07T18:11:20,bd1ccdc9e12ca25b,,25,"player_name, club, league, season, season_start_year, position, position_group, age, matches_played, starts, minutes_played, nineties, goals, assists, g_a, goals_minus_pk, penalties_scored, penalties_attempted, yellow_cards, red_cards, goals_per90, assists_per90, g_a_per90, goals_minus_pk_per90, g_a_minus_pk_per90"
data/processed/fbref_standard_raw.parquet,.parquet,0.39,2026-05-05T14:36:33.728843+00:00,2026-05-05T16:36:33,301b453f80302628,,28,"Rk, Player, Nation, Pos, Squad, Age, Born, Playing Time_MP, Playing Time_Starts, Playing Time_Min, Playing Time_90s, Performance_Gls, Performance_Ast, Performance_G+A, Performance_G-PK, Performance_PK, Performance_PKatt, Performance_CrdY, Performance_CrdR, Per 90 Minutes_Gls, Per 90 Minutes_Ast, Per 90 Minutes_G+A, Per 90 Minutes_G-PK, Per 90 Minutes_G+A-PK, Matches, league, season, season_start_year"
