player_name_fbref,player_name_tm,club,league,season,position_group,age,minutes_played,market_value_eur,portfolio_cost_eur,predicted_market_value_eur,market_value_gap_eur,market_value_gap_pct,roi_proxy_pct,roi_score,upside_eur,upside_score,growth_score,confidence_score,opportunity_score,risk_score,risk_level,risk_adjusted_opportunity_score,future_asset_score,executive_decision_score,portfolio_score_conservative,portfolio_score_balanced,portfolio_score_aggressive,is_optimization_candidate
Tiago Gabriel,Tiago Gabriel,Lecce,Serie A,2025-2026,DEF,20.78028747433265,3219,3000000.0,3000000.0,6115872.50700272,3115872.50700272,1.0386241690009066,103.86241690009068,7.428876704493486,3115872.50700272,10.827300374431667,32.62979175781249,86.41666666666667,66.05269816142624,34.56,Moderado,43.22,33.70313823913256,44.10882419206838,44.115579013635674,35.77786934910971,19.986255087163514,True
Espen van Ee,Espen van Ee,Arouca,Liga Portugal,2025-2026,MID,22.455852156057496,1873,1000000.0,1000000.0,3135242.2443846306,2135242.2443846306,2.1352422443846306,213.52422443846305,15.58310562968885,2135242.2443846306,7.1887740872325425,3.6236207204658433,91.92948717948718,63.08312495881843,44.12,Moderado,35.25,34.64885420191164,41.23126161916468,41.86376090937537,35.66919524098429,12.697961594231039,True
Kareem Tunde,Kareem Tunde,Levante,LaLiga,2025-2026,MID,20.418891170431213,1133,500000.0,500000.0,4058313.2922581015,3558313.292258101,5.0,711.6626584516201,52.623666227418134,3558313.292258101,12.46893075139229,14.383110323445136,71.50277777777778,69.14116927999586,89.71,Muy alto,7.11,43.543027501221374,28.601407397971183,19.09155792771419,34.9362575714544,23.73990927931555,True
Aske Adelgaard,Aske Adelgaard,Go Ahead Eagles,Eredivisie,2025-2026,DEF,22.06160164271047,1564,700000.0,700000.0,1853264.0615525711,1153264.0615525711,1.6475200879322445,164.75200879322443,11.95650289089021,1153264.0615525711,3.545246482698499,4.598489516946761,92.86209150326798,61.43601577165691,41.18,Moderado,36.14,32.52649993714438,41.07214186410767,42.702970646502095,34.6470440194514,11.634947555807111,True
Williot Swedberg,Williot Swedberg,Celta Vigo,LaLiga,2025-2026,MID,21.66735112936345,1270,10000000.0,10000000.0,36327115.3600368,26327115.3600368,2.63271153600368,263.271153600368,19.28218608274182,26327115.3600368,96.95019551520562,17.749713166308812,79.44444444444446,65.56734084641853,75.0,Alto,16.39,54.54422662148919,36.083191491322665,27.439821597669933,34.07936279251288,21.735939788099312,True
Prosper Peter,Prosper Peter,Angers,Ligue 1,2025-2026,ATT,18.17111567419576,1273,1000000.0,1000000.0,2744471.273545463,1744471.273545463,1.744471273545463,174.4471273545463,12.677412184476916,1744471.273545463,5.738859166315635,100.0,76.16944444444447,92.55388202556222,80.88,Muy alto,17.7,33.91152990570272,35.63607554820479,29.815100847719204,34.0289461876564,36.95038851311518,True
Tom de Graaff,Tom de Graaff,Zwolle,Eredivisie,2025-2026,GK,20.810403832991103,2790,600000.0,600000.0,1114595.36983017,514595.36983017,0.8576589497169499,85.765894971695,6.083256147379091,514595.36983017,1.1755329298667632,25.058330800461352,86.41666666666667,61.74542750470626,34.56,Moderado,40.41,29.95777505165729,41.46802926385557,42.593926150238474,33.28022324380202,16.06753454506323,True
Pablo,Pablo,West Ham United,Premier League,2025-2026,MID,21.744010951403148,823,1500000.0,1500000.0,10456423.118064376,8956423.118064377,5.0,597.0948745376252,44.10463887908508,8956423.118064377,32.49805411328609,17.39785108786009,69.71111111111111,69.58397818935687,92.65,Muy alto,5.11,45.18404388498379,27.937473275783987,17.50505284570626,32.91879887053669,22.79493040587362,True
Giovane,Giovane,Hellas Verona,Serie A,2025-2026,MID,21.869952087611225,1533,4000000.0,4000000.0,11548591.04447896,7548591.04447896,1.88714776111974,188.714776111974,13.738325521616968,7548591.04447896,27.27444007344736,17.597550431078307,86.22500000000001,65.03543082519917,58.82,Alto,26.78,37.37461011596762,37.436488694031745,34.89895833854777,32.771696880875055,15.9129600503164,True
Bazoumana Touré,Bazoumana Touré,Hoffenheim,Bundesliga,2025-2026,MID,19.61943874058864,2308,15000000.0,15000000.0,27983818.769472145,12983818.769472145,0.8655879179648096,86.55879179648096,6.142214342292145,12983818.769472145,47.441285528025304,21.195219815806684,89.75000000000001,61.66917121902289,52.94,Alto,29.02,40.02493064561316,39.214566905207874,37.66797597010655,32.609926895568584,16.608845256279647,True
Igor Matanovic,Igor Matanovic,Freiburg,Bundesliga,2025-2026,ATT,22.54072553045859,1571,7000000.0,7000000.0,16262786.193198588,9262786.193198588,1.323255170456941,132.3255170456941,9.54533492926603,9262786.193198588,33.634782342870736,18.36787284675358,86.63055555555556,62.39993472474127,54.41,Alto,28.45,37.451605311464604,37.93147160614774,35.960549290929634,32.10453206447507,15.563757445355197,True
Víctor Muñoz,Víctor Muñoz,Osasuna,LaLiga,2025-2026,MID,22.223134839151268,2656,5000000.0,5000000.0,5618655.733886648,618655.733886648,0.1237311467773295,12.373114677732959,0.6259183065440057,618655.733886648,1.5616380548138031,44.11007196888239,86.41666666666667,62.053019558022974,34.56,Moderado,40.61,28.205751499265116,41.15154178642087,42.57632269154315,31.84302740353197,19.805514192043507,True
Pau Navarro,Pau Navarro,Villarreal,LaLiga,2025-2026,DEF,20.63244353182752,1921,5000000.0,5000000.0,9815859.972098531,4815859.972098531,0.9631719944197062,96.31719944197063,6.86782968342954,4815859.972098531,17.13492651595639,21.195218730965813,89.75000000000001,62.39809923222038,50.0,Moderado,31.2,33.142091864633514,38.58764281260245,38.5390305495947,31.8410186725104,14.675255192768859,True
Martim Neto,Martim Neto,Elche,LaLiga,2025-2026,MID,22.715947980835043,1347,5000000.0,5000000.0,17914428.364379987,12914428.364379987,2.582885672875997,258.28856728759973,18.91169110052442,12914428.364379987,47.18381966894286,17.74971194586297,80.94166666666668,65.9908266735648,72.79,Alto,17.96,42.428378803798886,34.05551003566268,28.204626176961963,31.769930923124043,17.623768940219605,True
Rémy Labeau Lascary,Rémy Labeau Lascary,Brest,Ligue 1,2025-2026,MID,22.78713210130048,1200,1800000.0,1800000.0,7762150.654810938,5962150.654810938,3.31230591933941,331.230591933941,24.335511668367825,5962150.654810938,21.388118509731175,5.882768214708451,80.91666666666667,63.96181452653225,72.79,Alto,17.4,37.46948828333465,32.23823497614011,27.335754982674818,31.002518762466906,13.684029280671616,True
Pedro Santos,Pedro Santos,Arouca,Liga Portugal,2025-2026,MID,22.85284052019165,770,600000.0,600000.0,3895575.578290649,3295575.578290649,5.0,549.2625963817749,40.54792797989673,3295575.578290649,11.494069873290377,0.9731737959195644,73.47222222222223,64.68309842451917,86.76,Muy alto,8.56,38.6731341684125,27.517736560340296,19.503331602766682,30.851631998771555,15.288531092694425,True
Ernest Poku,Ernest Poku,Leverkusen,Bundesliga,2025-2026,MID,21.711156741957563,1482,10000000.0,10000000.0,24722541.58015796,14722541.580157962,1.4722541580157962,147.22541580157963,10.653261090114787,14722541.580157962,53.892635128376085,21.78454221196332,83.56666666666669,63.36192645300752,66.18,Alto,21.43,41.61285212090237,35.421598320827094,30.922118204141615,30.841443184150805,17.145176178433516,True
Dies Janse,Dies Janse,Groningen,Eredivisie,2025-2026,DEF,19.707049965776864,2725,2000000.0,2000000.0,4275599.994091431,2275599.9940914307,1.137799997045715,113.77999970457154,8.166327986645845,2275599.9940914307,7.709556874984627,26.16342085639053,88.08333333333334,64.87946617711064,56.62,Alto,28.14,30.90783058282767,36.695350881129045,35.99289762237106,30.712563096169276,15.046348957568306,True
Carlos Espí,Carlos Espí,Levante,LaLiga,2025-2026,ATT,20.386036960985628,1343,2000000.0,2000000.0,6937596.868733299,4937596.868733299,2.4687984343666494,246.87984343666494,18.063361603563443,4937596.868733299,17.58661857096709,8.194605026608228,82.53055555555557,62.42859226767608,67.65,Alto,20.2,34.69260521307975,32.83345309013849,29.284776170514277,29.863984637618785,12.35163373345124,True
Afonso Moreira,Afonso Moreira,Lyon,Ligue 1,2025-2026,MID,20.7419575633128,1722,5000000.0,5000000.0,5197773.922150364,197773.9221503641,0.0395547844300728,3.955478443007282,0.0,197773.9221503641,0.0,74.96512438919152,84.90000000000002,72.44779361666221,60.29,Alto,28.77,26.950558723332446,36.564198404165566,35.25860832437384,29.14897776583178,25.89323286992381,True
Miguel Román,Miguel Román,Celta Vigo,LaLiga,2025-2026,MID,22.76796714579056,1311,800000.0,800000.0,3028281.9394874545,2228281.9394874545,2.785352424359318,278.5352424359318,20.41719267704908,2228281.9394874545,7.533988169735784,25.058335885632385,76.90833333333336,67.97887721119984,76.47,Muy alto,16.0,32.66912325497443,30.45230625598358,25.185768672902537,28.886632512513383,16.408992074193037,True
Jesus Vazquez,Jesús Vázquez,Valencia,LaLiga,2025-2026,DEF,22.94318959616701,974,3000000.0,3000000.0,12122478.325454349,9122478.325454349,3.040826108484783,304.0826108484783,22.316843021580514,9122478.325454349,33.1141846369369,5.139915299934949,78.6888888888889,61.81606023506955,82.35,Muy alto,10.91,38.0865421526902,28.726180918519795,22.380868387754973,27.863155546342853,12.216475098817181,True
Alejandro Rego,Alejandro Rego,Athletic Club,LaLiga,2025-2026,MID,22.310746064339494,1279,2000000.0,2000000.0,3243624.709668504,1243624.709668504,0.621812354834252,62.1812354834252,4.329548845747763,1243624.709668504,3.880520240842976,51.9926600814203,81.53611111111113,68.37493527135494,70.59,Alto,20.11,27.25507032160456,31.693171301338797,28.958918768494577,26.30457459762384,19.160459848424622,True
