path,suffix,rows,columns,read_seconds,memory_mb,error
reports\roles\archetype_representatives.csv,.csv,180.0,47.0,0.015827,0.115,
reports\portfolio\recommended_portfolio.csv,.csv,5.0,29.0,0.015823,0.003,
reports\sprint_13b\ml\predictions\04_ml_test_predictions_v13b.parquet,.parquet,6208.0,17.0,0.015777,3.791,
reports\rankings\ols_overvalued.csv,.csv,25.0,61.0,0.015771,0.038,
reports\assets\tm69a_club_crest_matching_top60.csv,.csv,85.0,3.0,0.015675,0.017,
reports\data_quality\tm6_6_transfermarkt_refresh\transfermarkt_refresh_top_market_value_changes.csv,.csv,200.0,17.0,0.015674,0.158,
reports\roles\archetype_feature_centroids.csv,.csv,9.0,111.0,0.015586,0.008,
data\processed\player_role_intelligence_v2.parquet,.parquet,4298.0,15.0,0.015566,2.021,
reports\tables\03_player_season_with_inefficiency_scores.parquet,.parquet,1012.0,25.0,0.015548,0.485,
reports\sprint_13b\econometric\03_econometric_model_metrics.csv,.csv,6.0,6.0,0.015371,0.001,
reports\sprint_13a1\ml\04_ml_undervalued_ranking.csv,.csv,50.0,23.0,0.015366,0.03,
reports\data_quality\tm6_5_14\duplicate_key_audit.csv,.csv,877.0,7.0,0.015252,0.293,
reports\sprint_13b\econometric\ols_model_comparison.csv,.csv,3.0,15.0,0.015117,0.001,
data\processed\player_role_universal.parquet,.parquet,362.0,22.0,0.01504,0.426,
reports\role_variable_inventory.csv,.csv,59.0,2.0,0.014972,0.008,
reports\strategy\scenario_portfolios.csv,.csv,15.0,28.0,0.014939,0.01,
reports\strategy\scenario_grid.csv,.csv,18.0,16.0,0.014768,0.007,
reports\data_quality\tm41_streamlit_dataset_refs.csv,.csv,21.0,5.0,0.014653,0.006,
reports\data_quality\tm41_dataset_inventory.csv,.csv,539.0,9.0,0.014586,0.411,
reports\sprint_13b\ml\feature_importance_xgboost_v13b.csv,.csv,11.0,7.0,0.014586,0.003,
reports\roles\position_taxonomy_purity.csv,.csv,7.0,6.0,0.014546,0.001,
reports\roles\position_taxonomy_validation.csv,.csv,114.0,9.0,0.014466,0.051,
reports\sprint_13b\econometric\03_overvalued_ranking.csv,.csv,50.0,23.0,0.014368,0.03,
reports\data_quality\tm6_5_14\player_profile_validation_sample_transfer_proxy20.csv,.csv,20.0,10.0,0.014298,0.009,
reports\tables\transfermarkt_profile.csv,.csv,7.0,7.0,0.014196,0.002,
reports\rankings\scouting_shortlist.csv,.csv,100.0,18.0,0.014174,0.055,
reports\sprint_13a1\ml\04_ml_test_predictions.parquet,.parquet,776.0,23.0,0.014103,0.468,
