import time: self [us] | cumulative | imported package
import time:       767 |        767 |               pandas.core.internals.construction
import time:       549 |        549 |                 pandas.core.methods
import time:       547 |        547 |                   pandas.core.reshape
import time:       846 |       1392 |                 pandas.core.reshape.concat
import time:       833 |        833 |                     gzip
import time:        68 |         68 |                     mmap
import time:       556 |        556 |                       pwd
import time:       466 |        466 |                       grp
import time:      1333 |       2354 |                     tarfile
import time:      1236 |       1236 |                     zipfile
import time:       546 |        546 |                     pandas.core.shared_docs
import time:      1902 |       6937 |                   pandas.io.common
import time:      1199 |       8135 |                 pandas.io.formats.format
import time:       818 |      10893 |               pandas.core.methods.describe
import time:       574 |        574 |                     pandas._libs.window
import time:      1208 |       1781 |                   pandas._libs.window.aggregations
import time:       811 |        811 |                     pandas._libs.window.indexers
import time:       792 |       1602 |                   pandas.core.indexers.objects
import time:       567 |        567 |                   pandas.core.util.numba_
import time:       578 |        578 |                   pandas.core.window.common
import time:       583 |        583 |                   pandas.core.window.doc
import time:       667 |        667 |                   pandas.core.window.numba_
import time:       591 |        591 |                   pandas.core.window.online
import time:      2087 |       2087 |                   pandas.core.window.rolling
import time:      1274 |       9727 |                 pandas.core.window.ewm
import time:      1373 |       1373 |                 pandas.core.window.expanding
import time:       690 |      11789 |               pandas.core.window
import time:      6277 |      76839 |             pandas.core.generic
import time:       772 |        772 |             pandas.core.methods.selectn
import time:       512 |        512 |               pandas.core.reshape.util
import time:       707 |        707 |               pandas.core.tools.numeric
import time:       692 |       1910 |             pandas.core.reshape.melt
import time:      1304 |       1304 |               pandas._libs.reshape
import time:      1354 |       1354 |               pandas.core.indexes.accessors
import time:      1226 |       1226 |                 pandas.arrays
import time:      2248 |       3473 |               pandas.core.tools.datetimes
import time:      1403 |       1403 |               pandas.io.formats.info
import time:      1539 |       1539 |                 pandas.plotting._core
import time:       653 |        653 |                 pandas.plotting._misc
import time:       671 |       2862 |               pandas.plotting
import time:      3808 |      14203 |             pandas.core.series
import time:      6637 |     100359 |           pandas.core.frame
import time:      1499 |       1499 |           pandas.core.groupby.base
import time:      1353 |       1353 |             pandas._libs.groupby
import time:       451 |        451 |               pandas.core.groupby.categorical
import time:       843 |       1293 |             pandas.core.groupby.grouper
import time:      1165 |       3810 |           pandas.core.groupby.ops
import time:       805 |        805 |             pandas.core.groupby.numba_
import time:       930 |        930 |             pandas.core.groupby.indexing
import time:      2882 |       4616 |           pandas.core.groupby.groupby
import time:      2925 |     116759 |         pandas.core.groupby.generic
import time:       546 |     117304 |       pandas.core.groupby
import time:       635 |     307600 |     pandas.core.api
import time:       634 |        634 |     pandas.tseries.api
import time:       441 |        441 |             pandas.core.computation.common
import time:       631 |       1072 |           pandas.core.computation.align
import time:      1615 |       1615 |               pprint
import time:      1024 |       2638 |             pandas.core.computation.scope
import time:       763 |       3401 |           pandas.core.computation.ops
import time:       599 |       5071 |         pandas.core.computation.engines
import time:       831 |        831 |           pandas.core.computation.parsing
import time:      1925 |       2756 |         pandas.core.computation.expr
import time:       629 |       8455 |       pandas.core.computation.eval
import time:       628 |       9083 |     pandas.core.computation.api
