player_name_fbref,player_id_tm,club,current_club_name_tm,league,season,position_group,age,minutes_played,market_value_eur,log_market_value_eur,model,feature_set,predicted_log_market_value_ml,predicted_market_value_ml_eur,residual_log_observed_minus_predicted,inefficiency_score_ml,market_value_growth_prev,delta_log_market_value_prev,growth_index,breakout_indicator,career_year,matching_confidence,matching_method,goals_per90,assists_per90,predicted_market_value_eur,residual_observed_minus_predicted_log,inefficiency_score_log,market_value_gap_eur,market_value_gap_pct,inefficiency_score_log_winsorized,market_value_gap_pct_winsorized,inefficiency_score_z,market_value_gap_pct_z,is_undervalued,is_overvalued,inefficiency_rank
Adrian Blake,875581.0,Utrecht,Football Club Utrecht,Eredivisie,2024-2025,MID,19.42505133470226,468,500000.0,13.122363377404328,RandomForest,B_v13B_advanced,15.35274618213908,4651713.396868512,-2.2303828047347523,2.2303828047347523,0.0,0.0,-0.28329844427707607,0,1,0.85,exact_age_validated,0.58,0.38,4651713.396868512,-2.2303828047347523,2.2303828047347523,4151713.396868512,5.0,2.2000722751818436,5.0,2.426072388659802,3.6711931494440835,True,False,35
Jesus Rodríguez,1190411.0,Real Betis,Calcio Como,LaLiga,2024-2025,MID,18.89664613278576,1111,700000.0,13.458835614025542,XGBoost,A_v13A_current,16.54423713684082,15313374.0,-3.0854015228152782,3.0854015228152782,0.4,0.33647166519362237,0.2987354985416992,1,1,0.85,exact_age_validated,0.16,0.0,15313374.224332377,-3.0854015228152782,3.0854015228152782,14613374.224332377,5.0,2.2000722751818436,5.0,2.426072388659802,3.6711931494440835,True,False,33
Lasse Rosenboom,512352.0,Holstein Kiel,Holstein Kiel,Bundesliga,2024-2025,MID,22.91854893908282,1734,500000.0,13.122363377404328,RandomForest,B_v13B_advanced,16.079520953254278,9621598.309251549,-2.957157575849949,2.957157575849949,0.0,0.0,-0.28329844427707607,0,1,1.0,exact_age_club_validated,0.1,0.1,9621598.309251549,-2.9571575758499495,2.9571575758499495,9121598.309251549,5.0,2.2000722751818436,5.0,2.426072388659802,3.6711931494440835,True,False,34
Yassin Belkhdim,807688.0,Angers,Angers Sporting Club de l'Ouest,Ligue 1,2024-2025,MID,22.64476386036961,1523,500000.0,13.122363377404328,XGBoost,A_v13A_current,15.641891479492188,6211366.5,-2.5195281020878597,2.5195281020878597,4.0,1.6094299124820992,1.4917402334230712,1,1,0.85,exact_age_validated,0.06,0.06,6211366.509195465,-2.5195281020878593,2.5195281020878593,5711366.509195465,5.0,2.2000722751818436,5.0,2.426072388659802,3.6711931494440835,True,False,31
Mario Martín,948273.0,Valladolid,Getafe Club de Fútbol S. A. D. Team Dubai,LaLiga,2024-2025,MID,20.602327173169066,1748,500000.0,13.122363377404328,XGBoost,A_v13A_current,15.97066879272461,8629255.0,-2.848305415320281,2.848305415320281,0.6666666666666666,0.5108242904362132,0.4347828594471473,1,1,0.85,exact_age_validated,0.0,0.05,8629255.519122709,-2.848305415320281,2.848305415320281,8129255.519122709,5.0,2.2000722751818436,5.0,2.426072388659802,3.6711931494440835,True,False,32
Adrian Blake,875581.0,Utrecht,Football Club Utrecht,Eredivisie,2024-2025,MID,19.42505133470226,468,500000.0,13.122363377404328,RandomForest,A_v13A_current,15.468596611715393,5223073.667262518,-2.346233234311065,2.346233234311065,0.0,0.0,-0.28329844427707607,0,1,0.85,exact_age_validated,0.58,0.38,5223073.667262518,-2.3462332343110646,2.3462332343110646,4723073.667262518,5.0,2.2000722751818436,5.0,2.426072388659802,3.6711931494440835,True,False,3
Yan Diomandé,1390649.0,Leganés,RasenBallsport Leipzig,LaLiga,2024-2025,MID,18.472279260780287,545,600000.0,13.304684934198283,LightGBM,B_v13B_advanced,16.096622810414413,9787560.595903942,-2.7919378762161298,2.7919378762161298,,,0.0,0,1,0.85,exact_age_validated,0.33,0.17,9787560.595903942,-2.7919378762161298,2.7919378762161298,9187560.595903942,5.0,2.2000722751818436,5.0,2.426072388659802,3.6711931494440835,True,False,52
Yassin Belkhdim,807688.0,Angers,Angers Sporting Club de l'Ouest,Ligue 1,2024-2025,MID,22.64476386036961,1523,500000.0,13.122363377404328,LightGBM,B_v13B_advanced,15.640373026703458,6201941.999545073,-2.5180096492991293,2.5180096492991293,4.0,1.6094299124820992,1.4917402334230712,1,1,0.85,exact_age_validated,0.06,0.06,6201941.999545073,-2.5180096492991293,2.5180096492991293,5701941.999545073,5.0,2.2000722751818436,5.0,2.426072388659802,3.6711931494440835,True,False,53
Andrés García,1063329.0,Aston Villa,Aston Villa Football Club,Premier League,2024-2025,DEF,21.683778234086244,318,900000.0,13.710150042306449,HistGradientBoosting,B_v13B_advanced,16.181132194210207,10650657.5948649,-2.4709821519037583,2.4709821519037583,0.125,0.11778289676765752,-0.19805486479308607,0,1,0.85,exact_age_validated,0.0,0.0,10650657.5948649,-2.4709821519037583,2.4709821519037583,9750657.5948649,5.0,2.2000722751818436,5.0,2.426072388659802,3.6711931494440835,True,False,41
Johan Manzambi,927353.0,Freiburg,Sport-Club Freiburg,Bundesliga,2024-2025,MID,18.98699520876112,335,750000.0,13.527828485512494,HistGradientBoosting,B_v13B_advanced,16.061259042761975,9447484.20904784,-2.5334305572494813,2.5334305572494813,2.0,1.0986096220085546,0.6125731053272446,0,1,0.85,exact_age_validated,0.54,0.27,9447484.209047839,-2.5334305572494813,2.5334305572494813,8697484.209047839,5.0,2.2000722751818436,5.0,2.426072388659802,3.6711931494440835,True,False,42
