player_name_fbref,club,league,season,position_group,age,minutes_played,market_value_eur,predicted_market_value_eur,market_value_gap_eur,market_value_gap_pct,inefficiency_score_z,growth_score,confidence_score,opportunity_score,opportunity_tier,matching_confidence,matching_method
Javi Rodríguez,Celta Vigo,LaLiga,2024-2025,DEF,21.29226557152635,2514,3000000.0,10343657.407693762,7343657.407693762,2.4478858025645875,1.41641209062389,100.0,86.41666666666667,100.0,target_scouting,0.85,exact_age_validated
Javi Rodríguez,Celta Vigo,LaLiga,2024-2025,DEF,21.29226557152635,2514,3000000.0,9902956.824254254,6902956.824254254,2.300985608084752,1.3707296157101856,100.0,86.41666666666667,99.37227110925238,target_scouting,0.85,exact_age_validated
Javi Rodríguez,Celta Vigo,LaLiga,2024-2025,DEF,21.29226557152635,2514,3000000.0,9679933.283383902,6679933.283383902,2.2266444277946342,1.346830463090546,100.0,86.41666666666667,99.04386971261016,target_scouting,0.85,exact_age_validated
Javi Rodríguez,Celta Vigo,LaLiga,2024-2025,DEF,21.29226557152635,2514,3000000.0,9567151.844374591,6567151.844374593,2.189050614791531,1.3345343615615697,100.0,86.41666666666667,98.87490736571706,target_scouting,0.85,exact_age_validated
Javi Rodríguez,Celta Vigo,LaLiga,2024-2025,DEF,21.29226557152635,2514,3000000.0,9383321.776628183,6383321.776628185,2.127773925542728,1.314178011668241,100.0,86.41666666666667,98.59518808688316,target_scouting,0.85,exact_age_validated
Javi Rodríguez,Celta Vigo,LaLiga,2024-2025,DEF,21.29226557152635,2514,3000000.0,9048019.009930355,6048019.009930357,2.0160063366434526,1.275999593556138,100.0,86.41666666666667,98.07057342672556,target_scouting,0.85,exact_age_validated
Javi Rodríguez,Celta Vigo,LaLiga,2024-2025,DEF,21.29226557152635,2514,3000000.0,8448697.974024856,5448697.974024856,1.8162326580082853,1.2040939963455148,100.0,86.41666666666667,97.08250916661632,target_scouting,0.85,exact_age_validated
Javi Rodríguez,Celta Vigo,LaLiga,2024-2025,DEF,21.29226557152635,2514,3000000.0,8143429.279190545,5143429.279190545,1.7144764263968484,1.1654822881244855,100.0,86.41666666666667,96.55194061013502,target_scouting,0.85,exact_age_validated
Saba Goglichidze,Empoli,Serie A,2024-2025,DEF,20.314852840520192,2539,5000000.0,11136596.71896897,6136596.718968971,1.227319343793794,0.9579494669155728,100.0,86.41666666666667,93.70020484281316,target_scouting,0.85,exact_age_validated
Saba Goglichidze,Empoli,Serie A,2024-2025,DEF,20.314852840520192,2539,5000000.0,10478400.855198076,5478400.855198076,1.0956801710396151,0.8940313383213038,100.0,86.41666666666667,92.82189743856377,target_scouting,0.85,exact_age_validated
Saba Goglichidze,Empoli,Serie A,2024-2025,DEF,20.314852840520192,2539,5000000.0,9031419.332977334,4031419.332977334,0.8062838665954668,0.7381128056456167,100.0,86.41666666666667,90.6794003924122,target_scouting,0.85,exact_age_validated
Saba Goglichidze,Empoli,Serie A,2024-2025,DEF,20.314852840520192,2539,5000000.0,8452067.622394554,3452067.6223945543,0.6904135244789109,0.6685522436379833,100.0,86.41666666666667,89.72355956917927,target_scouting,0.85,exact_age_validated
Luca Marianucci,Empoli,Serie A,2024-2025,DEF,20.40520191649555,1069,800000.0,6582896.108824483,5782896.108824483,5.0,2.3290693764560304,55.26108947219535,72.2027777777778,88.78645791658182,target_scouting,0.85,exact_age_validated
Saba Goglichidze,Empoli,Serie A,2024-2025,DEF,20.314852840520192,2539,5000000.0,7896666.687396318,2896666.6873963177,0.5793333374792635,0.5972374822855638,100.0,86.41666666666667,88.74361406223706,target_scouting,0.85,exact_age_validated
Gerard Martín,Barcelona,LaLiga,2024-2025,DEF,22.622861054072555,1038,3000000.0,13489332.838767951,10489332.838767951,3.496444279589318,1.6950026267233462,75.66410887790562,71.60000000000002,87.65889727713353,target_scouting,0.85,exact_age_validated
Saba Goglichidze,Empoli,Serie A,2024-2025,DEF,20.314852840520192,2539,5000000.0,7196091.17481075,2196091.1748107504,0.43921823496215,0.4997635783697663,100.0,86.41666666666667,87.4042123398591,target_scouting,0.85,exact_age_validated
Gerard Martín,Barcelona,LaLiga,2024-2025,DEF,22.622861054072555,1038,3000000.0,12977539.528518915,9977539.528518915,3.325846509506306,1.6544203949325125,75.66410887790562,71.60000000000002,87.10125149734061,target_scouting,0.85,exact_age_validated
Gerard Martín,Barcelona,LaLiga,2024-2025,DEF,22.622861054072555,1038,3000000.0,12596456.66967911,9596456.66967911,3.1988188898930368,1.6231493228137477,75.66410887790562,71.60000000000002,86.6715515861453,target_scouting,0.85,exact_age_validated
Saba Goglichidze,Empoli,Serie A,2024-2025,DEF,20.314852840520192,2539,5000000.0,6402073.575750192,1402073.5757501917,0.2804147151500383,0.377094824954136,100.0,86.41666666666667,85.71860487974563,target_scouting,0.85,exact_age_validated
Gerard Martín,Barcelona,LaLiga,2024-2025,DEF,22.622861054072555,1038,3000000.0,11380779.975228157,8380779.975228155,2.793593325076052,1.5166660680336663,75.66410887790562,71.60000000000002,85.20835118965705,target_scouting,0.85,exact_age_validated
