player_name_fbref,season,league,club,position_group,age,minutes_played,market_value_eur,predicted_market_value_eur,market_value_gap_eur,inefficiency_score,matching_confidence
Brian Brobbey,2022-2023,Eredivisie,Ajax,ATT,21.4,1650,12000000.0,6684007.371342315,-5315992.628657685,-0.585188936221483,1.0
Arne Maier,2020-2021,Bundesliga,Arminia,MID,22.4,1034,7000000.0,3890763.3982566847,-3109236.6017433153,-0.5873047643402725,1.0
Edoardo Bove,2022-2023,Serie A,Roma,MID,21.1,992,10000000.0,5554097.288603646,-4445902.711396354,-0.5880491874094815,1.0
Rafael Leão,2021-2022,Serie A,Milan,ATT,23.0,2605,70000000.0,38690298.89480418,-31309701.10519582,-0.5929063479906027,1.0
Carlos Baleba,2022-2023,Ligue 1,Lille,MID,19.5,478,5000000.0,2763534.544187727,-2236465.455812273,-0.5929274200626509,1.0
Tomás Händel,2021-2022,Liga Portugal,Vitória Guimarães,MID,21.5,1036,3000000.0,1654210.1966107986,-1345789.8033892014,-0.5952886163376885,1.0
Arijanet Muric,2020-2021,Eredivisie,Willem II,GK,22.5,1260,1300000.0,715060.2067225106,-584939.7932774894,-0.597752799094371,1.0
Osame Sahraoui,2023-2024,Eredivisie,Heerenveen,ATT,23.0,2469,8500000.0,4672152.99880692,-3827847.00119308,-0.5984461704742472,1.0
Neraysho Kasanwirjo,2022-2023,Eredivisie,Groningen,DEF,21.3,1229,2500000.0,1373677.4059760734,-1126322.5940239266,-0.5987993502282247,1.0
Curtis Jones,2020-2021,Premier League,Liverpool,MID,20.4,1179,30000000.0,16481751.996763224,-13518248.003236776,-0.5989435523481816,1.0
Khvicha Kvaratskhelia,2022-2023,Serie A,Napoli,ATT,22.3,2518,85000000.0,46526996.17061861,-38473003.82938139,-0.6026185495493941,1.0
Francisco Trincão,2020-2021,LaLiga,Barcelona,MID,21.4,706,22000000.0,12040514.98732141,-9959485.01267859,-0.602765241359041,1.0
Marouan Azarkan,2023-2024,Eredivisie,Utrecht,ATT,22.5,794,1500000.0,819868.7813597906,-680131.2186402094,-0.6040760823689695,1.0
Maghnes Akliouche,2023-2024,Ligue 1,Monaco,ATT,22.3,1613,25000000.0,13580375.433533398,-11419624.566466602,-0.6102500570569553,1.0
Nico Williams,2023-2024,LaLiga,Athletic Club,ATT,21.9,2263,60000000.0,32522989.835465916,-27477010.164534084,-0.6123973434086025,1.0
Maxence Lacroix,2020-2021,Bundesliga,Wolfsburg,DEF,21.2,2590,28000000.0,15159905.891599441,-12840094.108400559,-0.6135503376583848,1.0
Vitaliy Mykolenko,2021-2022,Premier League,Everton,DEF,23.0,1055,18000000.0,9745301.179563995,-8254698.820436005,-0.6135865193532695,1.0
Bryan Gil,2020-2021,LaLiga,Eibar,ATT,20.3,2265,30000000.0,16054296.572706386,-13945703.427293614,-0.6252208686771326,1.0
Ibrahima Diallo,2020-2021,Premier League,Southampton,MID,22.3,1020,15000000.0,8020957.831569048,-6979042.168430952,-0.6259923559848204,1.0
Adolfo Gaich,2020-2021,Serie A,Benevento,ATT,22.3,768,8000000.0,4270402.840733947,-3729597.159266053,-0.6277333767969786,1.0
Mohamed Ali Cho,2023-2024,Ligue 1,Nice,ATT,20.4,861,10000000.0,5330853.605592128,-4669146.394407872,-0.62907371649613,1.0
Metinho,2023-2024,Eredivisie,Sparta Rotterdam,MID,21.1,1268,3500000.0,1865210.540264476,-1634789.459735524,-0.6293890315489712,1.0
Declan Rice,2020-2021,Premier League,West Ham United,MID,22.4,2879,65000000.0,34617117.42893319,-30382882.57106681,-0.6300389867876497,1.0
Valentín Barco,2023-2024,Premier League,Brighton,MID,19.8,307,13000000.0,6885993.680887539,-6114006.319112461,-0.635459910220975,1.0
William Saliba,2021-2022,Ligue 1,Marseille,DEF,21.2,3240,30000000.0,15868386.39408743,-14131613.60591257,-0.6368685287842659,1.0
Eliesse Ben Seghir,2023-2024,Ligue 1,Monaco,ATT,19.3,428,15000000.0,7931860.042336414,-7068139.957663586,-0.6371626352881243,1.0
Adrien Truffert,2023-2024,Ligue 1,Rennes,DEF,22.5,2145,18000000.0,9506065.829780798,-8493934.170219202,-0.638441654651448,1.0
Edoardo Bove,2023-2024,Serie A,Roma,MID,22.1,1780,18000000.0,9446728.659687916,-8553271.340312084,-0.6447032499004166,1.0
Abel Ruiz,2020-2021,Liga Portugal,Braga,ATT,21.3,1284,7000000.0,3672444.7185001695,-3327555.2814998305,-0.6450525729277174,1.0
Eric García,2021-2022,LaLiga,Barcelona,DEF,21.4,2039,18000000.0,9410588.262457691,-8589411.737542309,-0.6485362916452146,1.0
Rayan Aït-Nouri,2022-2023,Premier League,Wolves,DEF,22.0,1076,22000000.0,11487007.200239507,-10512992.799760493,-0.6498258653788866,1.0
Flavius Daniliuc,2021-2022,Ligue 1,Nice,DEF,21.1,1293,8000000.0,4147714.683027008,-3852285.316972992,-0.6568840379051526,1.0
